"# Projekt";"Praktica MTL5"
"# Exportiert";"25.6.2026, 22:32:01"

"Target_1x";"Target_s";"Avg_Fraction";"Avg_ms";"Deviation_EV";"Spread_EV";"OpeningSpeed_m_s";"ClosingSpeed_m_s";"Flash_OK";"Flash_NOK";"Flash_Detected";"Count"
"1";"1.000000";"1";"936.4379";"-0.0947";"0.0012";"5.5589";"5.0464";"2";"0";"2";"2"
"2";"0.500000";"2";"492.8140";"-0.0209";"0.0006";"5.1190";"5.0757";"2";"0";"2";"2"
"4";"0.250000";"4";"260.0920";"0.0571";"0.0022";"5.3486";"5.1190";"2";"0";"2";"2"
"8";"0.125000";"8";"132.6497";"0.0857";"0.0054";"5.3562";"5.0807";"2";"0";"2";"2"
"15";"0.066667";"16";"64.3500";"-0.0510";"0.0131";"5.4384";"5.1180";"2";"0";"2";"2"
"30";"0.033333";"28";"35.5566";"0.0932";"0.0228";"5.2907";"5.0664";"3";"0";"3";"3"
"60";"0.016667";"60";"16.6565";"-0.0009";"0.0375";"5.3316";"5.1147";"3";"0";"3";"3"
"125";"0.008000";"121";"8.2843";"0.0504";"0.0856";"5.3539";"5.1703";"2";"0";"2";"2"
"250";"0.004000";"263";"3.8006";"-0.0738";"0.3139";"5.6332";"5.1423";"0";"3";"3";"3"
"500";"0.002000";"482";"2.0757";"0.0536";"0.2360";"5.2881";"5.1051";"0";"1";"1";"2"
"1000";"0.001000";"875";"1.1427";"0.1924";"0.5743";"5.3674";"5.0916";"0";"3";"3";"3"
